Date,Open,High,Low,Close,Adj Close,Volume
2023-03-17,53.450001,55.750000,53.049999,54.900002,54.900002,112918857
2023-03-20,53.599998,54.750000,52.200001,53.549999,53.549999,65578919
2023-03-21,53.849998,54.150002,52.650002,53.000000,53.000000,31632951
2023-03-22,53.400002,53.900002,52.700001,53.099998,53.099998,38444991
2023-03-23,52.900002,53.200001,52.099998,52.650002,52.650002,32816290
2023-03-24,52.500000,52.849998,50.150002,50.650002,50.650002,67243087
2023-03-27,50.700001,51.299999,49.250000,50.099998,50.099998,49618132
2023-03-28,50.200001,50.549999,49.000000,50.250000,50.250000,50426174
2023-03-29,50.250000,51.750000,49.599998,51.250000,51.250000,41464387
2023-03-31,51.250000,51.700001,50.650002,51.000000,51.000000,56566133
2023-04-03,51.500000,52.150002,50.900002,51.950001,51.950001,29241512
2023-04-05,52.099998,52.900002,51.549999,51.700001,51.700001,25497115
2023-04-06,51.750000,52.450001,51.299999,52.150002,52.150002,19695678
2023-04-10,52.150002,54.200001,51.799999,53.950001,53.950001,60655412
2023-04-11,54.650002,55.250000,53.250000,53.950001,53.950001,41101417
2023-04-12,54.250000,54.250000,52.900002,53.200001,53.200001,30848068
2023-04-13,53.200001,54.150002,52.849998,53.849998,53.849998,26646279
2023-04-17,54.200001,54.250000,53.000000,53.950001,53.950001,24787918
2023-04-18,54.049999,54.200001,53.049999,53.299999,53.299999,27617603
2023-04-19,53.599998,55.950001,53.200001,54.150002,54.150002,62022927
2023-04-20,54.150002,54.400002,53.650002,54.200001,54.200001,23096046
2023-04-21,54.299999,56.750000,54.099998,56.049999,56.049999,106707937
2023-04-24,55.500000,56.400002,54.700001,56.000000,56.000000,43287483
2023-04-25,56.400002,60.599998,56.200001,57.750000,57.750000,199056106
2023-04-26,58.099998,59.000000,57.099998,58.200001,58.200001,59765915
2023-04-27,58.599998,61.150002,58.349998,60.700001,60.700001,82969101
2023-04-28,60.799999,66.000000,59.549999,64.900002,64.900002,190938290
2023-05-02,64.500000,65.650002,63.049999,63.450001,63.450001,112758256
2023-05-03,63.450001,64.949997,63.150002,63.549999,63.549999,65082316
2023-05-04,63.500000,66.599998,63.349998,65.699997,65.699997,123042355
2023-05-05,65.500000,66.699997,64.250000,65.400002,65.400002,94016138
2023-05-08,64.599998,66.199997,63.500000,64.900002,64.900002,104940671
2023-05-09,64.699997,64.699997,60.299999,60.950001,60.950001,127854883
2023-05-10,61.000000,62.900002,60.950001,61.799999,61.799999,70220898
2023-05-11,62.599998,63.500000,62.000000,62.400002,62.400002,75062855
2023-05-12,62.500000,63.650002,61.599998,62.599998,62.599998,73164520
2023-05-15,62.099998,64.099998,61.950001,63.700001,63.700001,55886001
2023-05-16,64.000000,65.000000,62.400002,63.000000,63.000000,59311532
2023-05-17,63.000000,64.050003,62.250000,63.349998,63.349998,47444527
2023-05-18,64.199997,64.599998,63.099998,63.500000,63.500000,54301847
2023-05-19,63.950001,65.000000,63.200001,64.500000,64.500000,73620039
2023-05-22,64.699997,66.849998,61.799999,63.500000,63.500000,147006670
2023-05-23,63.049999,64.000000,62.549999,63.200001,63.200001,50797759
2023-05-24,63.000000,64.699997,62.750000,64.449997,64.449997,60476729
2023-05-25,64.800003,68.199997,64.500000,67.300003,67.300003,139721311
2023-05-26,67.300003,68.250000,65.750000,67.250000,67.250000,86466135
2023-05-29,67.800003,68.400002,66.599998,67.099998,67.099998,56968141
2023-05-30,67.500000,68.300003,66.449997,66.849998,66.849998,60699589
2023-05-31,67.300003,70.000000,66.300003,69.050003,69.050003,251813391
2023-06-01,68.699997,68.800003,67.599998,67.949997,67.949997,57846081
2023-06-02,70.000000,73.199997,69.500000,71.150002,71.150002,170769117
2023-06-05,71.300003,72.150002,69.599998,71.250000,71.250000,84075166
2023-06-06,71.550003,73.150002,71.349998,72.349998,72.349998,64762959
2023-06-07,72.500000,75.000000,72.400002,74.500000,74.500000,67871844
2023-06-08,74.800003,76.349998,73.699997,75.800003,75.800003,88006842
2023-06-09,77.050003,78.000000,75.849998,77.599998,77.599998,77276802
2023-06-12,78.300003,80.300003,76.500000,77.949997,77.949997,105388190
2023-06-13,77.900002,78.800003,76.699997,78.300003,78.300003,81857154
2023-06-14,78.300003,78.449997,73.250000,74.099998,74.099998,83186945
2023-06-15,74.500000,76.099998,73.099998,75.099998,75.099998,93321136
2023-06-16,75.550003,76.000000,73.900002,74.449997,74.449997,45783616
2023-06-19,74.599998,77.000000,74.099998,75.849998,75.849998,62744981
2023-06-20,76.000000,76.400002,74.800003,75.849998,75.849998,30591595
2023-06-21,76.099998,77.349998,74.650002,75.099998,75.099998,31896510
2023-06-22,75.500000,75.849998,73.650002,74.349998,74.349998,40419764
2023-06-23,73.900002,75.300003,72.550003,74.150002,74.150002,51775728
2023-06-26,74.150002,75.250000,73.800003,74.849998,74.849998,30411621
2023-06-27,75.150002,76.949997,74.849998,76.150002,76.150002,59078137
2023-06-28,77.000000,77.000000,74.599998,74.900002,74.900002,30574521
2023-06-30,75.000000,75.449997,74.000000,75.050003,75.050003,49245376
2023-07-03,75.449997,77.250000,74.550003,75.650002,75.650002,49243205
2023-07-04,75.800003,76.199997,74.500000,74.800003,74.800003,24150257
2023-07-05,74.849998,75.099998,73.699997,74.050003,74.050003,25459694
2023-07-06,74.449997,75.250000,74.300003,74.750000,74.750000,24467816
2023-07-07,74.800003,74.900002,73.000000,73.250000,73.250000,26599778
2023-07-10,73.449997,75.550003,73.400002,74.800003,74.800003,33812208
2023-07-11,75.050003,77.000000,74.900002,76.800003,76.800003,42946892
2023-07-12,77.500000,78.800003,77.150002,77.500000,77.500000,64212629
2023-07-13,77.849998,84.500000,77.650002,82.199997,82.199997,192605002
2023-07-14,84.000000,85.250000,81.650002,82.550003,82.550003,91571303
2023-07-17,83.199997,83.400002,79.500000,80.150002,80.150002,43377345
2023-07-18,80.650002,80.650002,76.500000,78.699997,78.699997,71215775
2023-07-19,79.000000,80.349998,77.250000,77.650002,77.650002,42130927
2023-07-20,78.050003,79.099998,77.300003,77.599998,77.599998,40495235
2023-07-21,77.849998,80.699997,77.400002,80.300003,80.300003,74991213
2023-07-24,80.800003,82.449997,80.550003,81.300003,81.300003,64291285
2023-07-25,81.300003,83.199997,79.300003,82.650002,82.650002,72459586
2023-07-26,83.099998,84.599998,82.500000,83.349998,83.349998,59291226
2023-07-27,83.349998,86.099998,82.800003,84.949997,84.949997,77249384
2023-07-28,85.599998,87.250000,83.849998,86.800003,86.800003,74798625
2023-07-31,87.000000,87.150002,83.699997,84.099998,84.099998,49093355
2023-08-01,84.599998,85.699997,84.199997,84.750000,84.750000,34950470
2023-08-02,84.449997,85.949997,82.650002,85.050003,85.050003,54844625
2023-08-03,81.599998,88.400002,81.599998,86.550003,86.550003,123480816
2023-08-04,89.000000,98.400002,88.400002,95.400002,95.400002,405751648
2023-08-07,97.400002,102.849998,96.349998,97.599998,97.599998,249331637
2023-08-08,98.349998,100.300003,92.699997,93.449997,93.449997,160236123
2023-08-09,93.900002,94.849998,91.599998,94.099998,94.099998,109240947
2023-08-10,94.099998,96.150002,93.250000,94.250000,94.250000,87598556
2023-08-11,94.599998,95.199997,93.050003,93.449997,93.449997,38156809
2023-08-14,93.400002,93.400002,91.349998,92.750000,92.750000,46668447
2023-08-16,92.449997,95.599998,91.500000,91.900002,91.900002,76333138
2023-08-17,92.300003,93.250000,90.500000,91.150002,91.150002,45657095
2023-08-18,91.000000,91.400002,89.000000,89.349998,89.349998,50513070
2023-08-21,90.500000,90.500000,88.300003,89.750000,89.750000,36755760
2023-08-22,90.300003,94.300003,90.099998,91.900002,91.900002,104409241
2023-08-23,92.949997,95.000000,92.050003,94.300003,94.300003,64768237
2023-08-24,95.750000,95.750000,93.199997,93.800003,93.800003,47597101
2023-08-25,93.349998,93.349998,90.050003,91.000000,91.000000,65076321
2023-08-28,96.000000,96.099998,91.750000,92.349998,92.349998,141118441
2023-08-29,92.750000,95.000000,92.599998,94.699997,94.699997,86708316
2023-08-30,99.500000,100.500000,97.199997,99.800003,99.800003,250111714
2023-08-31,100.050003,100.800003,96.699997,97.599998,97.599998,113063640
2023-09-01,98.300003,98.349998,96.849998,97.199997,97.199997,47561928
2023-09-04,97.500000,98.599998,97.300003,98.050003,98.050003,37447917
2023-09-05,98.150002,99.300003,97.050003,98.199997,98.199997,51133944
2023-09-06,98.400002,98.849998,97.650002,98.199997,98.199997,28329667
2023-09-07,98.650002,101.599998,98.199997,100.050003,100.050003,111222776
2023-09-08,100.750000,101.099998,99.000000,99.599998,99.599998,63482366
2023-09-11,100.000000,102.550003,99.199997,101.349998,101.349998,83850675
2023-09-12,102.400002,102.500000,96.500000,98.750000,98.750000,90911794
2023-09-13,98.750000,100.750000,97.000000,97.900002,97.900002,71661116
2023-09-14,98.650002,100.099998,98.199997,99.449997,99.449997,45226055
2023-09-15,100.500000,104.449997,100.349998,102.949997,102.949997,148853172
2023-09-18,103.599998,105.000000,101.650002,102.150002,102.150002,69476642
2023-09-20,101.300003,104.900002,99.300003,100.000000,100.000000,104115507
2023-09-21,100.000000,100.949997,98.250000,99.150002,99.150002,40591612
2023-09-22,99.500000,101.400002,98.699997,99.900002,99.900002,39492725
2023-09-25,100.300003,100.500000,97.750000,98.449997,98.449997,34410972
